document,term,count
122,thou,1
122,tyndareus,1
123,clytemnestra,1
123,need,1
123,news,1
123,queen,1
124,hath,1
124,mood,1
124,stirred,1
124,tale,1
124,thy,1
124,tiding,1
125,forth,1
125,send,1
125,upon,1
125,ways,1
125,word,1
126,every,1
126,god,1
126,incensed,1
126,worship,1
127,city,1
127,deep,1
127,guards,1
127,high,1
128,gods,2
128,mart,1
128,sky,1
129,altars,1
129,blaze,1
130,one,2
131,firebrands,1
131,flare,1
131,night,1
131,skyey,1
132,drunk,1
132,guileless,1
132,soft,1
132,spell,1
133,balm,1
133,cell,1
133,inmost,1
133,kings,1
134,queen,1
134,reject,1
134,tell,1
135,can,1
135,may,1
135,told,1
136,aching,1
136,healer,1
136,thought,1
137,evilcold,1
137,hovereth,1
137,one,1
137,time,1
138,fires,1
138,kindlest,1
138,thou,1
139,care,1
139,hope,1
139,hungry,1
139,kindled,1
139,will,1
140,back,1
140,fall,1
140,little,1
140,tear,1
141,beateth,1
141,breast,1
141,heart,1
143,clytemnestra,1
143,presence,1
143,rises,1
143,silently,1
143,though,1
143,unconscious,1
144,begin,1
144,chorus,1
144,first,1
144,goes,1
144,house,1
144,position,1
144,take,1
144,the,1
145,standingsong,1
145,stasimon,1
147,chorus,1
149,eagles,1
149,hare,1
149,seen,1
149,sign,1
149,tearing,1
149,the,1
149,way,1
149,young,1
151,given,1
151,sign,1
151,tell,1
151,warway,1
152,men,1
152,strong,1
153,breathes,1
153,heaven,1
153,kin,1
153,life,1
153,unto,1
153,yet,1
154,song,1
154,spell,1
154,strength,1
155,achaia,1
155,crown,1
155,divided,1
155,might,1
155,one,1
155,twinthroned,1
156,greeks,1
157,avenging,1
157,guided,1
157,hand,1
157,spear,1
157,troy,1
157,upon,1
158,bird,1
158,war,1
159,among,1
159,birds,1
159,king,1
159,kings,1
159,sea,1
159,twas,1
160,black,2
160,eagle,1
160,firewhite,1
160,one,2
160,tail,1
161,house,1
161,might,1
161,see,1
161,spearhand,1
161,station,1
162,grew,1
162,hare,1
162,life,1
162,tore,1
162,womb,1
163,life,1
163,races,1
163,slew,1
163,unlived,1
163,unrun,1
163,yea,1
164,good,1
164,prevail,2
164,sing,1
164,sorrow,2
166,calchas,1
166,future,1
166,how,1
166,read,1
166,sign,1
166,vision,1
168,atreid,1
168,looked,1
168,warseer,1
168,wise,1
168,yoke,1
169,knew,1
169,twaintempered,1
170,fierce,1
170,harerenders,1
170,host,1
170,lords,1
170,spoke,1
171,omen,1
171,reading,1
171,true,1
172,hunt,1
172,hunteth,1
172,ilion,1
172,last,2
173,wall,1
173,yea,1
174,division,1
174,fulness,1
174,land,1
174,town,1
174,violent,1
175,shall,1
175,waste,1
175,withal,1
176,eye,1
176,gates,1
176,gloom,1
176,gods,1
177,fail,1
177,foresmitten,1
177,great,1
177,troy,1
177,warcurb,1
178,hates,1
178,hounds,1
178,lives,1
178,pity,1
178,"wing\u00e3d",1
179,beast,1
179,body,1
179,tore,1
179,tremblers,1
179,unborn,1
180,abhorreth,1
180,artemis,1
180,eagles,1
180,feast,1
181,good,1
181,prevail,2
181,sing,1
